,matchday,home_team,away_team,season,competition,correct_score,1N2_1,1N2_N,1N2_2,home_team_rank_FIFA,away_team_rank_FIFA,home_team_trend,away_team_trend,home_team_odd_trend,away_team_odd_trend,target,best_odd_won,corr_score_home,corr_score_away
3667,2018-06-26,Nigeria,Argentina,2018,world-cup,1:2,5.84,5.07,1.49,47.75,7.666666666666667,7.0,8.0,2.0475000000000003,2.1325000000000003,2.0,True,0.787146478429325,0.981472655124988
3668,2018-06-26,Iceland,Croatia,2018,world-cup,1:2,4.3,3.87,1.83,26.83333333333333,11.083333333333334,9.0,7.0,3.5850000000000004,1.8200000000000005,2.0,True,0.8075397259181798,0.9851360785181464
3669,2018-06-27,South Korea,Germany,2018,world-cup,2:0,18.72,8.04,1.16,56.41666666666666,6.666666666666667,8.0,8.0,6.6425,10.6375,0.0,False,0.8963752173487439,0.9893982445856679
3670,2018-06-27,Mexico,Sweden,2018,world-cup,0:3,2.21,3.36,3.48,15.583333333333334,18.33333333333333,10.0,11.0,6.7875,6.8275,2.0,False,0.9990426906465364,0.9923312563141787
3671,2018-06-27,Switzerland,Costa Rica,2018,world-cup,2:2,1.59,3.64,7.31,7.5,30.5,8.0,9.0,2.420000000000001,6.8675,1.0,False,0.9933992677987828,0.8687680563573815
3672,2018-06-27,Serbia,Brazil,2018,world-cup,0:2,7.24,4.58,1.47,33.583333333333336,2.583333333333333,7.0,9.0,1.8825000000000005,6.8675,2.0,True,0.8446877845160874,0.9954543130867585
3673,2018-06-28,Panama,Tunisia,2018,world-cup,1:2,4.34,3.7,1.86,61.083333333333336,23.08333333333333,6.0,9.0,2.47,2.6725,2.0,True,0.8904397886773414,0.8660254037844386
3674,2018-06-28,England,Belgium,2018,world-cup,0:1,2.46,2.83,3.6,10.0,2.9166666666666665,9.0,12.0,3.0775,2.7025,2.0,False,0.9490183559041601,0.9204826764858683
3675,2018-06-28,Senegal,Colombia,2018,world-cup,0:1,5.07,3.74,1.75,25.25,13.916666666666666,9.0,10.0,2.7025,6.8575,2.0,True,0.9849729768917007,0.9671611198538264
3676,2018-06-28,Japan,Poland,2018,world-cup,0:1,2.9,3.12,2.67,53.91666666666666,13.166666666666666,9.0,9.0,2.47,2.2375,2.0,True,0.9212542028409479,0.9709094655553906
3677,2018-06-30,France,Argentina,2018,world-cup,4:3,2.41,3.09,3.35,4.833333333333333,7.666666666666667,9.0,6.0,2.6275000000000004,2.4025,0.0,True,0.9990988604457783,0.981472655124988
