Game,Competition,Score,opening,closing
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,1.5,4.521428571428571,7.25
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,5.5,1.1,1.1925
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,6.5,1.0250000000000001,1.0650000000000002
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,7.5,1.01,1.03
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,8.5,1.01,1.01
british-virgin-islands-bonaire-A79LIKjk,concacaf-nations-league-2019-2020,5,1.23,1.23
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,2.5,1.6454545454545453,1.5799999999999998
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,4.5,4.685714285714285,4.357142857142857
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,1.5,1.1842857142857142,1.1928571428571428
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,3.5,2.59,2.575
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,3,2.0,2.03
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,6.5,11.0,11.0
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,0.5,1.0083333333333333,1.0083333333333333
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,5.5,8.416666666666666,8.083333333333334
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,2,1.27,1.28
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,4,3.8,3.7
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,1,1.03,1.03
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,2.5,2.138181818181818,2.260909090909091
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,4.5,1.147142857142857,1.1842857142857142
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,1.5,4.2942857142857145,4.242857142857143
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,3.5,1.446,1.4449999999999998
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,3,1.72,1.7
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,6.5,1.02,1.02
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,0.5,12.333333333333334,12.666666666666666
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,5.5,1.0383333333333333,1.0483333333333333
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,2,3.4,3.3
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,4,1.23,1.24
antigua-and-barbuda-curacao-S8k0z8wK,concacaf-nations-league-2019-2020,1,9.4,9.2
cayman-islands-montserrat-ETTrSqo0,concacaf-nations-league-2019-2020,2.5,1.6640000000000001,1.6640000000000001
cayman-islands-montserrat-ETTrSqo0,concacaf-nations-league-2019-2020,1.5,1.1533333333333333,1.2066666666666668
cayman-islands-montserrat-ETTrSqo0,concacaf-nations-league-2019-2020,4.5,4.0,4.5
cayman-islands-montserrat-ETTrSqo0,concacaf-nations-league-2019-2020,5.5,6.833333333333333,7.833333333333333
cayman-islands-montserrat-ETTrSqo0,concacaf-nations-league-2019-2020,3.5,2.3000000000000003,2.58
cayman-islands-montserrat-ETTrSqo0,concacaf-nations-league-2019-2020,6.5,10.0,12.0
cayman-islands-montserrat-ETTrSqo0,concacaf-nations-league-2019-2020,0.5,1.0066666666666666,1.0066666666666666
cayman-islands-montserrat-ETTrSqo0,concacaf-nations-league-2019-2020,2.5,2.09,2.086
cayman-islands-montserrat-ETTrSqo0,concacaf-nations-league-2019-2020,1.5,4.583333333333333,3.9166666666666665
cayman-islands-montserrat-ETTrSqo0,concacaf-nations-league-2019-2020,4.5,1.21,1.15
cayman-islands-montserrat-ETTrSqo0,concacaf-nations-league-2019-2020,5.5,1.0733333333333335,1.0466666666666666
cayman-islands-montserrat-ETTrSqo0,concacaf-nations-league-2019-2020,3.5,1.54,1.4266666666666665
cayman-islands-montserrat-ETTrSqo0,concacaf-nations-league-2019-2020,6.5,1.03,1.01
cayman-islands-montserrat-ETTrSqo0,concacaf-nations-league-2019-2020,0.5,12.333333333333334,12.333333333333334
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,2.5,1.7727272727272727,1.7518181818181817
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,3,2.28,2.28
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,3.5,2.7785714285714285,2.9499999999999997
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,1.5,1.2414285714285713,1.2414285714285713
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,5.5,8.4,8.4
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,6.5,13.0,13.0
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,4.5,5.208333333333333,5.208333333333333
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,0.5,1.0183333333333333,1.0183333333333333
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,1,1.04,1.04
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,2,1.37,1.37
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,4,4.3,4.3
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,2.5,1.9618181818181817,1.9745454545454544
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,3,1.55,1.55
