,oddsportal,matchday,home_team,away_team,correct_score,1N2_1,1N2_N,1N2_2,betexplorer,matchdate,period,location,season,competition,bet_won,target,odd_win,best_odd_won
46,soccer/north-central-america/concacaf-nations-league-2019-2020/montserrat-el-salvador-OE99fB8U,09.09.2018,Montserrat,El Salvador,1:2,10.5,6.3,1.2,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-09,2018-09,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.2,True
47,soccer/north-central-america/concacaf-nations-league-2019-2020/united-states-virgin-islands-canada-6a6x2yAt,09.09.2018,United States Virgin Islands,Canada,0:8,28.0,18.0,1.0,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-09,2018-09,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.0,True
48,soccer/north-central-america/concacaf-nations-league-2019-2020/antigua-and-barbuda-saint-lucia-KMChbg95,08.09.2018,Antigua and Barbuda,Saint Lucia,0:3,1.56,4.14,4.5,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-08,2018-09,north-central-america,2020,concacaf-nations-league-2019,2,2.0,4.5,False
49,soccer/north-central-america/concacaf-nations-league-2019-2020/belize-bahamas-d8NWBCw5,08.09.2018,Belize,Bahamas,4:0,1.58,3.77,5.01,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-08,2018-09,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.58,True
50,soccer/north-central-america/concacaf-nations-league-2019-2020/cuba-turks-and-caicos-islands-Gl61dXwI,08.09.2018,Cuba,Turks and Caicos Islands,11:0,1.1,9.0,11.25,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-08,2018-09,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.1,True
51,soccer/north-central-america/concacaf-nations-league-2019-2020/saint-vincent-and-the-grenadines-nicaragua-ABRzBWhB,08.09.2018,Saint Vincent and the Grenadines,Nicaragua,0:2,4.22,3.68,1.72,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-08,2018-09,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.72,True
52,soccer/north-central-america/concacaf-nations-league-2019-2020/anguilla-french-guiana-lOes1ePn,07.09.2018,Anguilla,French Guiana,0:5,10.5,6.65,1.19,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-07,2018-09,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.19,True
53,soccer/north-central-america/concacaf-nations-league-2019-2020/guyana-barbados-EqYRChOb,07.09.2018,Guyana,Barbados,3:0,2.6,3.47,2.38,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-07,2018-09,north-central-america,2020,concacaf-nations-league-2019,1,0.0,2.6,False
54,soccer/north-central-america/concacaf-nations-league-2019-2020/dominica-suriname-tWDlaZga,06.09.2018,Dominica,Suriname,0:0,3.74,3.72,1.81,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-06,2018-09,north-central-america,2020,concacaf-nations-league-2019,N,1.0,3.72,False
55,soccer/north-central-america/concacaf-nations-league-2019-2020/barbados-cayman-islands-COa96f0r,20.11.2019,Barbados,Cayman Islands,3:0,1.44,3.98,6.26,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-11-20,2019-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.44,True
56,soccer/north-central-america/concacaf-nations-league-2019-2020/united-states-virgin-islands-saint-martin-dEtuOMVF,20.11.2019,United States Virgin Islands,Saint Martin,1:2,2.31,3.12,2.87,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-11-20,2019-11,north-central-america,2020,concacaf-nations-league-2019,2,2.0,2.87,False
57,soccer/north-central-america/concacaf-nations-league-2019-2020/puerto-rico-anguilla-zRCaHBE0,19.11.2019,Puerto Rico,Anguilla,3:0,1.13,7.3,11.96,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-11-19,2019-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.13,True
58,soccer/north-central-america/concacaf-nations-league-2019-2020/guadeloupe-turks-and-caicos-islands-ttoNHuQt,18.11.2019,Guadeloupe,Turks and Caicos Islands,10:0,1.07,8.89,17.68,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-11-18,2019-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.07,True
59,soccer/north-central-america/concacaf-nations-league-2019-2020/guatemala-puerto-rico-IkIfIiaf,17.11.2019,Guatemala,Puerto Rico,5:0,1.02,14.0,33.25,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-11-17,2019-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.02,True
60,soccer/north-central-america/concacaf-nations-league-2019-2020/bonaire-bahamas-n1vCQFiE,17.11.2019,Bonaire,Bahamas,1:1,2.08,3.47,2.99,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-11-17,2019-11,north-central-america,2020,concacaf-nations-league-2019,N,1.0,3.47,False
61,soccer/north-central-america/concacaf-nations-league-2019-2020/cayman-islands-united-states-virgin-islands-INsyP2G9,17.11.2019,Cayman Islands,United States Virgin Islands,1:0,1.27,4.92,9.02,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-11-17,2019-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.27,True
62,soccer/north-central-america/concacaf-nations-league-2019-2020/saint-martin-barbados-O0rXPr13,16.11.2019,Saint Martin,Barbados,1:0,9.86,6.11,1.19,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-11-16,2019-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,9.86,False
63,soccer/north-central-america/concacaf-nations-league-2019-2020/bahamas-british-virgin-islands-KfjU1WED,15.11.2019,Bahamas,British Virgin Islands,3:0,1.05,10.6,23.49,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-11-15,2019-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.05,True
